Location,topBot,x,y,angle,Block
ITP2,2,100.75,12.4,0,
ITP2,2,38.25,12.4,0,
ITP3,2,91.5,55.45,0,
ITP3,2,29,55.45,0,
ITP4,2,97.8,44.85,0,
ITP4,2,35.3,44.85,0,
ITP5,2,97.2,115.7,180,
ITP5,2,34.7,115.7,180,
ITP6,2,100.05,102.3,180,
ITP6,2,37.55,102.3,180,
ITP7,2,106.85,129.5,180,
ITP7,2,44.35,129.5,180,
ITP8,2,104.2,28.3,0,
ITP8,2,41.7,28.3,0,
ITP9,2,104.45,32.05,0,
ITP9,2,41.95,32.05,0,
ITP10,2,74.25,17.9,0,
ITP10,2,11.75,17.9,0,
ITP11,2,93.85,40.4,0,
ITP11,2,31.35,40.4,0,
ITP12,2,74.95,106.5,180,
ITP12,2,12.45,106.5,180,
ITP13,2,83.45,114.9,180,
ITP13,2,20.95,114.9,180,
ITP14,2,101.75,37.25,0,
ITP14,2,39.25,37.25,0,
ITP15,2,86.65,114.8,180,
ITP15,2,24.15,114.8,180,
ITP16,2,88.75,132.3,180,
ITP16,2,26.25,132.3,180,
ITP17,2,94.05,23.5,0,
ITP17,2,31.55,23.5,0,
ITP18,2,109.85,56.2,0,
ITP18,2,47.35,56.2,0,
ITP19,2,74,52.7,0,
ITP19,2,11.5,52.7,0,
ITP20,2,111,37.95,90,
ITP20,2,48.5,37.95,90,
ITP21,2,111.05,32.75,0,
ITP21,2,48.55,32.75,0,
ITP22,2,97.55,21.65,0,
ITP22,2,35.05,21.65,0,
ITP23,2,96.95,23.25,0,
ITP23,2,34.45,23.25,0,
ITP24,2,89.55,23.5,0,
ITP24,2,27.05,23.5,0,
ITP25,2,107.55,56.2,0,
ITP25,2,45.05,56.2,0,
ITP26,2,88.85,114.3,180,
ITP26,2,26.35,114.3,180,
ITP27,2,84.05,30.7,270,
ITP27,2,21.55,30.7,270,
ITP28,2,88.85,112.8,180,
ITP28,2,26.35,112.8,180,
ITP29,2,84.85,31.7,0,
ITP29,2,22.35,31.7,0,
ITP30,2,86.95,111.8,180,
ITP30,2,24.45,111.8,180,
ITP31,2,84.05,32.7,0,
ITP31,2,21.55,32.7,0,
ITP32,2,88.85,110.8,180,
ITP32,2,26.35,110.8,180,
ITP33,2,84.85,33.7,0,
ITP33,2,22.35,33.7,0,
ITP34,2,108,30.7,0,
ITP34,2,45.5,30.7,0,
ITP35,2,107.8,32,90,
ITP35,2,45.3,32,90,
ITP36,2,106.2,26.25,90,
ITP36,2,43.7,26.25,90,
ITP37,2,86.95,109.8,180,
ITP37,2,24.45,109.8,180,
ITP38,2,89.6,109.3,180,
ITP38,2,27.1,109.3,180,
ITP39,2,87.9,107.85,90,
ITP39,2,25.4,107.85,90,
ITP40,2,90.7,41.7,90,
ITP40,2,28.2,41.7,90,
ITP41,2,90.95,40.4,0,
ITP41,2,28.45,40.4,0,
ITP42,2,92,41.7,0,
ITP42,2,29.5,41.7,0,
ITP43,2,92.25,40.4,0,
ITP43,2,29.75,40.4,0,
ITP44,2,94.05,41.7,180,
ITP44,2,31.55,41.7,180,
ITP45,2,95.45,41.7,0,
ITP45,2,32.95,41.7,0,
ITP46,2,96.7,41.2,0,
ITP46,2,34.2,41.2,0,
ITP47,2,111,40.65,0,
ITP47,2,48.5,40.65,0,
ITP48,2,74.55,25.05,90,
ITP48,2,12.05,25.05,90,
ITP49,2,95.25,40.4,180,
ITP49,2,32.75,40.4,180,
ITP50,2,111,35.25,0,
ITP50,2,48.5,35.25,0,
ITP51,2,104.1,52.65,0,
ITP51,2,41.6,52.65,0,
ITP52,2,105.3,55.25,0,
ITP52,2,42.8,55.25,0,
ITP53,2,99.55,106.05,180,
ITP53,2,37.05,106.05,180,
ITP54,2,101.9,24.2,0,
ITP54,2,39.4,24.2,0,
ITP55,2,94.9,48.95,0,
ITP55,2,32.4,48.95,0,
ITP56,2,79.5,12.25,0,
ITP56,2,17,12.25,0,
ITP57,2,103.05,37.25,0,
