Location,top_bot,x,y,Theta
R612,2,69.75,9.5,270
R612,2,69.75,105,270
R612,2,218.25,105,270
R612,2,218.25,9.5,270
R613,2,71.62,17,270
R613,2,71.62,112.5,270
R613,2,220.12,112.5,270
R613,2,220.12,17,270
R614,2,61,22.4,90
R614,2,61,117.9,90
R614,2,209.5,117.9,90
R614,2,209.5,22.4,90
R615,2,59.12,7.62,270
R615,2,59.12,103.12,270
R615,2,207.62,103.12,270
R615,2,207.62,7.62,270
R620,2,79.2,74.9,270
R620,2,79.2,170.4,270
R620,2,227.7,170.4,270
R620,2,227.7,74.9,270
R621,2,83.6,74.4,270
R621,2,83.6,169.9,270
R621,2,232.1,169.9,270
R621,2,232.1,74.4,270
R622,2,82,74.4,90
R622,2,82,169.9,90
R622,2,230.5,169.9,90
R622,2,230.5,74.4,90
R626,2,51.7,23.9,90
R626,2,51.7,119.4,90
R626,2,200.2,119.4,90
R626,2,200.2,23.9,90
R627,2,54.8,23.9,270
R627,2,54.8,119.4,270
R627,2,203.3,119.4,270
R627,2,203.3,23.9,270
R628,2,57.9,27.8,270
R628,2,57.9,123.3,270
R628,2,206.4,123.3,270
R628,2,206.4,27.8,270
R629,2,42.75,25.5,270
R629,2,42.75,121,270
R629,2,191.25,121,270
R629,2,191.25,25.5,270
R630,2,39.62,23.37,90
R630,2,39.62,118.87,90
R630,2,188.12,118.87,90
R630,2,188.12,23.37,90
R633,2,8.5,12.82,90
R633,2,8.5,108.32,90
R633,2,157,108.32,90
R633,2,157,12.82,90
R634,2,8.5,22.62,90
R634,2,8.5,118.12,90
R634,2,157,118.12,90
R634,2,157,22.62,90
R640,2,81.1,53.2,90
R640,2,81.1,148.7,90
R640,2,229.6,148.7,90
R640,2,229.6,53.2,90
R641,2,79.5,53.2,90
R641,2,79.5,148.7,90
R641,2,228,148.7,90
R641,2,228,53.2,90
R642,2,47.8,8,270
R642,2,47.8,103.5,270
R642,2,196.3,103.5,270
R642,2,196.3,8,270
R643,2,43.6,8,90
R643,2,43.6,103.5,90
R643,2,192.1,103.5,90
R643,2,192.1,8,90
R644,2,39.4,8,270
R644,2,39.4,103.5,270
R644,2,187.9,103.5,270
R644,2,187.9,8,270
R645,2,75.87,71.25,90
R645,2,75.87,166.75,90
R645,2,224.37,166.75,90
R645,2,224.37,71.25,90
R646,2,74.12,71.25,270
R646,2,74.12,166.75,270
R646,2,222.62,166.75,270
R646,2,222.62,71.25,270
R647,2,34.7,8,90
R647,2,34.7,103.5,90
R647,2,183.2,103.5,90
R647,2,183.2,8,90
R701,2,48.6,76.5,90
R701,2,48.6,172,90
R701,2,197.1,172,90
R701,2,197.1,76.5,90
R702,2,54.1,62.6,90
R702,2,54.1,158.1,90
R702,2,202.6,158.1,90
R702,2,202.6,62.6,90
R705,2,39.5,82.6,270
R705,2,39.5,178.1,270
R705,2,188,178.1,270
R705,2,188,82.6,270
R706,2,36.12,80.62,90
R706,2,36.12,176.12,90
R706,2,184.62,176.12,90
R706,2,184.62,80.62,90
R707,2,37.9,82.6,270
R707,2,37.9,178.1,270
R707,2,186.4,178.1,270
R707,2,186.4,82.6,270
R708,2,32.5,82.5,270
R708,2,32.5,178,270
R708,2,181,178,270
R708,2,181,82.5,270
R709,2,30.75,82.5,270
R709,2,30.75,178,270
R709,2,179.25,178,270
R709,2,179.25,82.5,270
R711,2,63.6,39,90
R711,2,63.6,134.5,90
R711,2,212.1,134.5,90
R711,2,212.1,39,90
R712,2,61.2,39,270
R712,2,61.2,134.5,270
R712,2,209.7,134.5,270
R712,2,209.7,39,270
R713,2,55.7,53.02,90
R713,2,55.7,148.52,90
R713,2,204.2,148.52,90
R713,2,204.2,53.02,90
R714,2,58.7,37.75,90
R714,2,58.7,133.25,90
R714,2,207.2,133.25,90
R714,2,207.2,37.75,90
R715,2,34.9,57,270
R715,2,34.9,152.5,270
R715,2,183.4,152.5,270
R715,2,183.4,57,270
R716,2,33.3,57,90
R716,2,33.3,152.5,90
R716,2,181.8,152.5,90
R716,2,181.8,57,90
R717,2,61.9,62.45,270
R717,2,61.9,157.95,270
R717,2,210.4,157.95,270
R717,2,210.4,62.45,270
R718,2,63.7,64.2,90
R718,2,63.7,159.7,90
R718,2,212.2,159.7,90
R718,2,212.2,64.2,90
R719,2,58.6,76.17,270
R719,2,58.6,171.67,270
R719,2,207.1,171.67,270
R719,2,207.1,76.17,270
R720,2,36.5,52.25,90
R720,2,36.5,147.75,90
R720,2,185,147.75,90
